microservice,pod,median,latency,cpuUsage,memUsage,repeat,service,cpuInter,memInter,targetReqFreq,reqFreq
compose-post-service,compose-post-service,464.0,45121.0,2,2,0,ComposePost,0,0,650.0,650.0
home-timeline-service,home-timeline-service,64.0,495.0,2,2,0,ComposePost,0,0,650.0,650.0
nginx-web-server,nginx-thrift,409.0,1016.7999999999997,2,2,0,ComposePost,0,0,650.0,650.0
post-storage-service,post-storage-service,41.0,125.79999999999973,2,2,0,ComposePost,0,0,650.0,650.0
social-graph-service,social-graph-service,56.0,204.0,2,2,0,ComposePost,0,0,650.0,650.0
text-service,text-service,271.0,1209.0,2,2,0,ComposePost,0,0,650.0,650.0
url-shorten-service,url-shorten-service,92.0,248.5999999999999,2,2,0,ComposePost,0,0,650.0,650.0
user-mention-service,user-mention-service,42.0,996.1999999999998,2,2,0,ComposePost,0,0,650.0,650.0
user-timeline-service,user-timeline-service,31.0,88.0,2,2,0,ComposePost,0,0,650.0,650.0
media-service,media-service,8.0,15.0,2,2,0,ComposePost,0,0,650.0,650.0
unique-id-service,unique-id-service,19.5,27.049999999999955,2,2,0,ComposePost,0,0,650.0,650.0
user-service,user-service,9.0,13.0,2,2,0,ComposePost,0,0,650.0,650.0
compose-post-service,compose-post-service,464.0,45121.0,2,2,0,UserTimeline,0,0,650.0,650.0
home-timeline-service,home-timeline-service,64.0,495.0,2,2,0,UserTimeline,0,0,650.0,650.0
nginx-web-server,nginx-thrift,409.0,1016.7999999999997,2,2,0,UserTimeline,0,0,650.0,650.0
post-storage-service,post-storage-service,41.0,125.79999999999973,2,2,0,UserTimeline,0,0,650.0,650.0
social-graph-service,social-graph-service,56.0,204.0,2,2,0,UserTimeline,0,0,650.0,650.0
text-service,text-service,271.0,1209.0,2,2,0,UserTimeline,0,0,650.0,650.0
url-shorten-service,url-shorten-service,92.0,248.5999999999999,2,2,0,UserTimeline,0,0,650.0,650.0
user-mention-service,user-mention-service,42.0,996.1999999999998,2,2,0,UserTimeline,0,0,650.0,650.0
user-timeline-service,user-timeline-service,31.0,88.0,2,2,0,UserTimeline,0,0,650.0,650.0
media-service,media-service,8.0,15.0,2,2,0,UserTimeline,0,0,650.0,650.0
unique-id-service,unique-id-service,19.5,27.049999999999955,2,2,0,UserTimeline,0,0,650.0,650.0
user-service,user-service,9.0,13.0,2,2,0,UserTimeline,0,0,650.0,650.0
compose-post-service,compose-post-service,464.0,45121.0,2,2,0,HomeTimeline,0,0,650.0,650.0
home-timeline-service,home-timeline-service,64.0,495.0,2,2,0,HomeTimeline,0,0,650.0,650.0
nginx-web-server,nginx-thrift,409.0,1016.7999999999997,2,2,0,HomeTimeline,0,0,650.0,650.0
post-storage-service,post-storage-service,41.0,125.79999999999973,2,2,0,HomeTimeline,0,0,650.0,650.0
social-graph-service,social-graph-service,56.0,204.0,2,2,0,HomeTimeline,0,0,650.0,650.0
text-service,text-service,271.0,1209.0,2,2,0,HomeTimeline,0,0,650.0,650.0
url-shorten-service,url-shorten-service,92.0,248.5999999999999,2,2,0,HomeTimeline,0,0,650.0,650.0
user-mention-service,user-mention-service,42.0,996.1999999999998,2,2,0,HomeTimeline,0,0,650.0,650.0
user-timeline-service,user-timeline-service,31.0,88.0,2,2,0,HomeTimeline,0,0,650.0,650.0
media-service,media-service,8.0,15.0,2,2,0,HomeTimeline,0,0,650.0,650.0
unique-id-service,unique-id-service,19.5,27.049999999999955,2,2,0,HomeTimeline,0,0,650.0,650.0
user-service,user-service,9.0,13.0,2,2,0,HomeTimeline,0,0,650.0,650.0
compose-post-service,compose-post-service,386.0,3076.0,2,2,0,ComposePost,0,0,200.0,200.0
home-timeline-service,home-timeline-service,71.5,498.0999999999999,2,2,0,ComposePost,0,0,200.0,200.0
nginx-web-server,nginx-thrift,566.5,1807.099999999999,2,2,0,ComposePost,0,0,200.0,200.0
post-storage-service,post-storage-service,42.0,98.04999999999995,2,2,0,ComposePost,0,0,200.0,200.0
social-graph-service,social-graph-service,57.0,166.29999999999973,2,2,0,ComposePost,0,0,200.0,200.0
text-service,text-service,265.0,526.0,2,2,0,ComposePost,0,0,200.0,200.0
url-shorten-service,url-shorten-service,117.0,243.99999999999983,2,2,0,ComposePost,0,0,200.0,200.0
user-mention-service,user-mention-service,44.5,103.0,2,2,0,ComposePost,0,0,200.0,200.0
user-timeline-service,user-timeline-service,58.0,163.14999999999986,2,2,0,ComposePost,0,0,200.0,200.0
media-service,media-service,8.0,15.0,2,2,0,ComposePost,0,0,200.0,200.0
