service,microservice,accy,modelFile
ComposePost,compose-post-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_compose-post-service.cpu
ComposePost,home-timeline-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_home-timeline-service.cpu
ComposePost,media-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_media-service.cpu
ComposePost,nginx-web-server,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_nginx-web-server.cpu
ComposePost,post-storage-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_post-storage-service.cpu
ComposePost,social-graph-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_social-graph-service.cpu
ComposePost,text-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_text-service.cpu
ComposePost,unique-id-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_unique-id-service.cpu
ComposePost,url-shorten-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_url-shorten-service.cpu
ComposePost,user-mention-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_user-mention-service.cpu
ComposePost,user-service,0.9999999999999809,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_user-service.cpu
ComposePost,user-timeline-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_user-timeline-service.cpu
HomeTimeline,compose-post-service,0.9999999999999807,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_compose-post-service.cpu
HomeTimeline,home-timeline-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_home-timeline-service.cpu
HomeTimeline,media-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_media-service.cpu
HomeTimeline,nginx-web-server,0.9999999999999807,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_nginx-web-server.cpu
HomeTimeline,post-storage-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_post-storage-service.cpu
HomeTimeline,social-graph-service,0.9999999999999807,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_social-graph-service.cpu
HomeTimeline,text-service,0.9999999999999807,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_text-service.cpu
HomeTimeline,unique-id-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_unique-id-service.cpu
HomeTimeline,url-shorten-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_url-shorten-service.cpu
HomeTimeline,user-mention-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_user-mention-service.cpu
HomeTimeline,user-service,0.9999999999999811,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_user-service.cpu
HomeTimeline,user-timeline-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_user-timeline-service.cpu
UserTimeline,compose-post-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_compose-post-service.cpu
UserTimeline,home-timeline-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_home-timeline-service.cpu
UserTimeline,media-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_media-service.cpu
UserTimeline,nginx-web-server,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_nginx-web-server.cpu
UserTimeline,post-storage-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_post-storage-service.cpu
UserTimeline,social-graph-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_social-graph-service.cpu
UserTimeline,text-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_text-service.cpu
UserTimeline,unique-id-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_unique-id-service.cpu
UserTimeline,url-shorten-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_url-shorten-service.cpu
UserTimeline,user-mention-service,0.9999999999999805,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_user-mention-service.cpu
UserTimeline,user-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_user-service.cpu
UserTimeline,user-timeline-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_user-timeline-service.cpu
