service,microservice,type,accy,modelFile
UserTimeline,user-mention-service,beforeInflection,0.2469844899215397,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_user-mention-service_before.full
UserTimeline,user-mention-service,afterInflection,0.7650387197369334,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_user-mention-service_after.full
UserTimeline,user-service,afterInflection,0.9250203438905058,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_user-service_after.full
UserTimeline,home-timeline-service,beforeInflection,0.9000928071652909,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_home-timeline-service_before.full
UserTimeline,home-timeline-service,afterInflection,0.7270047262768421,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_home-timeline-service_after.full
UserTimeline,media-service,afterInflection,0.944914589023749,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_media-service_after.full
UserTimeline,user-timeline-service,beforeInflection,0.7869272345480743,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_user-timeline-service_before.full
UserTimeline,user-timeline-service,afterInflection,0.664655563192817,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_user-timeline-service_after.full
UserTimeline,compose-post-service,afterInflection,0.3315804244183238,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_compose-post-service_after.full
UserTimeline,nginx-web-server,beforeInflection,0.536002760765856,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_nginx-web-server_before.full
UserTimeline,nginx-web-server,afterInflection,0.8683585371135083,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_nginx-web-server_after.full
UserTimeline,social-graph-service,beforeInflection,0.6286199951728489,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_social-graph-service_before.full
UserTimeline,social-graph-service,afterInflection,0.5682897589863256,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_social-graph-service_after.full
UserTimeline,text-service,afterInflection,0.7832108597704872,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_text-service_after.full
UserTimeline,unique-id-service,afterInflection,0.9478366397843997,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_unique-id-service_after.full
UserTimeline,post-storage-service,afterInflection,0.6178782888905245,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_post-storage-service_after.full
UserTimeline,url-shorten-service,beforeInflection,0.8796190039730163,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_url-shorten-service_before.full
ComposePost,post-storage-service,afterInflection,0.6123047994000731,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/ComposePost_post-storage-service_after.full
