tag,accy,modelFile
ComposePost_compose-post-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/ComposePost_compose-post-service.DT
ComposePost_home-timeline-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/ComposePost_home-timeline-service.DT
ComposePost_media-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/ComposePost_media-service.DT
ComposePost_nginx-web-server,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/ComposePost_nginx-web-server.DT
ComposePost_post-storage-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/ComposePost_post-storage-service.DT
ComposePost_social-graph-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/ComposePost_social-graph-service.DT
ComposePost_text-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/ComposePost_text-service.DT
ComposePost_unique-id-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/ComposePost_unique-id-service.DT
ComposePost_url-shorten-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/ComposePost_url-shorten-service.DT
ComposePost_user-mention-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/ComposePost_user-mention-service.DT
ComposePost_user-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/ComposePost_user-service.DT
ComposePost_user-timeline-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/ComposePost_user-timeline-service.DT
HomeTimeline_compose-post-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/HomeTimeline_compose-post-service.DT
HomeTimeline_home-timeline-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/HomeTimeline_home-timeline-service.DT
HomeTimeline_media-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/HomeTimeline_media-service.DT
HomeTimeline_nginx-web-server,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/HomeTimeline_nginx-web-server.DT
HomeTimeline_post-storage-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/HomeTimeline_post-storage-service.DT
HomeTimeline_social-graph-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/HomeTimeline_social-graph-service.DT
HomeTimeline_text-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/HomeTimeline_text-service.DT
HomeTimeline_unique-id-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/HomeTimeline_unique-id-service.DT
HomeTimeline_url-shorten-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/HomeTimeline_url-shorten-service.DT
HomeTimeline_user-mention-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/HomeTimeline_user-mention-service.DT
HomeTimeline_user-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/HomeTimeline_user-service.DT
HomeTimeline_user-timeline-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/HomeTimeline_user-timeline-service.DT
UserTimeline_compose-post-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/UserTimeline_compose-post-service.DT
UserTimeline_home-timeline-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/UserTimeline_home-timeline-service.DT
UserTimeline_media-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/UserTimeline_media-service.DT
UserTimeline_nginx-web-server,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/UserTimeline_nginx-web-server.DT
UserTimeline_post-storage-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/UserTimeline_post-storage-service.DT
UserTimeline_social-graph-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/UserTimeline_social-graph-service.DT
UserTimeline_text-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/UserTimeline_text-service.DT
UserTimeline_unique-id-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/UserTimeline_unique-id-service.DT
UserTimeline_url-shorten-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/UserTimeline_url-shorten-service.DT
UserTimeline_user-mention-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/UserTimeline_user-mention-service.DT
UserTimeline_user-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/UserTimeline_user-service.DT
UserTimeline_user-timeline-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/inflectionPrediction/UserTimeline_user-timeline-service.DT
