parentMS,childMS,parentOperation,childOperation,tag,service,step
nginx-web-server,nginx-web-server,/wrk2-api/post/compose,/wrk2-api/post/compose,1,ComposePost,1
nginx-web-server,nginx-web-server,/wrk2-api/post/compose,compose_post_client,1.1,ComposePost,1
nginx-web-server,compose-post-service,compose_post_client,compose_post_server,1.1.1,ComposePost,1
compose-post-service,compose-post-service,compose_post_server,compose_unique_id_client,1.1.1.1,ComposePost,1
compose-post-service,unique-id-service,compose_unique_id_client,compose_unique_id_server,1.1.1.1.1,ComposePost,1
compose-post-service,compose-post-service,compose_post_server,compose_media_client,1.1.1.2,ComposePost,1
compose-post-service,media-service,compose_media_client,compose_media_server,1.1.1.2.1,ComposePost,1
compose-post-service,compose-post-service,compose_post_server,compose_creator_client,1.1.1.3,ComposePost,1
compose-post-service,user-service,compose_creator_client,compose_creator_server,1.1.1.3.1,ComposePost,1
compose-post-service,compose-post-service,compose_post_server,compose_text_client,1.1.1.4,ComposePost,1
compose-post-service,text-service,compose_text_client,compose_text_server,1.1.1.4.1,ComposePost,1
text-service,text-service,compose_text_server,compose_urls_client,1.1.1.4.1.1,ComposePost,1
text-service,url-shorten-service,compose_urls_client,compose_urls_server,1.1.1.4.1.1.1,ComposePost,1
url-shorten-service,url-shorten-service,compose_urls_server,url_mongo_insert_client,1.1.1.4.1.1.1.1,ComposePost,1
text-service,text-service,compose_text_server,compose_user_mentions_client,1.1.1.4.1.2,ComposePost,1
text-service,user-mention-service,compose_user_mentions_client,compose_user_mentions_server,1.1.1.4.1.2.1,ComposePost,1
user-mention-service,user-mention-service,compose_user_mentions_server,compose_user_mentions_memcached_get_client,1.1.1.4.1.2.1.1,ComposePost,1
user-mention-service,user-mention-service,compose_user_mentions_server,compose_user_mentions_mongo_find_client,1.1.1.4.1.2.1.2,ComposePost,1
compose-post-service,compose-post-service,compose_post_server,store_post_client,1.1.1.5,ComposePost,1
compose-post-service,post-storage-service,store_post_client,store_post_server,1.1.1.5.1,ComposePost,1
post-storage-service,post-storage-service,store_post_server,post_storage_mongo_insert_client,1.1.1.5.1.1,ComposePost,1
compose-post-service,compose-post-service,compose_post_server,write_user_timeline_client,1.1.1.6,ComposePost,1
compose-post-service,user-timeline-service,write_user_timeline_client,write_user_timeline_server,1.1.1.6.1,ComposePost,1
user-timeline-service,user-timeline-service,write_user_timeline_server,write_user_timeline_mongo_insert_client,1.1.1.6.1.1,ComposePost,1
user-timeline-service,user-timeline-service,write_user_timeline_server,write_user_timeline_redis_update_client,1.1.1.6.1.2,ComposePost,1
compose-post-service,compose-post-service,compose_post_server,write_home_timeline_client,1.1.1.7,ComposePost,1
compose-post-service,home-timeline-service,write_home_timeline_client,write_home_timeline_server,1.1.1.7.1,ComposePost,1
home-timeline-service,home-timeline-service,write_home_timeline_server,get_followers_client,1.1.1.7.1.1,ComposePost,1
home-timeline-service,social-graph-service,get_followers_client,get_followers_server,1.1.1.7.1.1.1,ComposePost,1
social-graph-service,social-graph-service,get_followers_server,social_graph_redis_get_client,1.1.1.7.1.1.1.1,ComposePost,1
social-graph-service,social-graph-service,get_followers_server,social_graph_mongo_find_client,1.1.1.7.1.1.1.2,ComposePost,1
home-timeline-service,home-timeline-service,write_home_timeline_server,write_home_timeline_redis_update_client,1.1.1.7.1.2,ComposePost,1
